id,rate_avg_kg_hr,rate_detected_kg_hr,plume_count,timestamp_min,timestamp_max,latitude,longitude,nearest_well_api,nearest_well_operator,operator_number,distance_to_nearest_well_km,total_wells_within_500m,operator_wells_within_500m,confidence_score,purchaser_names
CH4_1B2_250m_-99.22104_28.18256?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,2503.888320266254,3755.83,2,2025-08-18,2025-08-25,28.18256,-99.22104,283-31017,"LEWIS PETRO PROPERTIES, INC.",499978,0.13,3,1,54.8,"[638155] PANHANDLE GAS COMPANY; [238360] EAGLE ENERGY DEVELOPMENT CO; [864440] TRANSCONTINENTAL GAS P.L. CORP.; [238684] EAGLE NATURAL GAS PIPELINE CORP.; [864444] TRANSCONTINENTAL GAS P.L. CO,LLC; [253368] ENTERPRISE PRODUCTS OPERATINGLLC; [404550] HOUSTON PIPE LINE COMPANY; [253329] ENTERPRISE HYDROCARBONS, L.P.; [142001] CERRITO PIPELINE MANAGEMENT, INC"
CH4_1B2_250m_-99.22733_28.19447?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,681.5576522347031,1363.12,1,2025-08-25,2025-08-25,28.19447,-99.22733,283-30938,SILVER PINES ENERGY CORP.,781875,0.41,1,1,71.0,"[142001] CERRITO PIPELINE MANAGEMENT, INC; [638155] PANHANDLE GAS COMPANY; [238360] EAGLE ENERGY DEVELOPMENT CO; [864440] TRANSCONTINENTAL GAS P.L. CORP.; [223422] DORAN ENERGY CORPORATION; [404550] HOUSTON PIPE LINE COMPANY; [238684] EAGLE NATURAL GAS PIPELINE CORP."
CH4_1B2_250m_-103.51175_31.75743?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,289.71096220749666,579.42,1,2025-08-22,2025-08-22,31.75743,-103.51175,301-34724,"CIRCLE-S ENERGY, LLC",100703,0.42,2,1,42.7,[211538] DELAWARE G&P LLC
CH4_1B2_250m_-103.63688_31.72377?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,NULL,NULL,1,2025-08-22,2025-08-22,31.72377,-103.63688,301-33035,APACHE CORPORATION,27200,0.4,4,4,68.9,[252017] ENERGY TRANSFER COMPANY; [100883] ET GATHERING & PROCESSING LLC
CH4_1B2_250m_-103.17314_31.35084?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,3850.5683188918965,19252.84,1,2025-08-15,2025-08-15,31.35084,-103.17314,389-33976,DIAMONDBACK E&P LLC,217012,0.26,1,1,81.6,"[238465] EAGLECLAW MIDSTREAM VENTURES,LLC"
CH4_1B2_250m_-103.09006_31.28421?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,308.6473105713324,1543.24,1,2025-08-15,2025-08-15,31.28421,-103.09006,371-36425,"TRIUMPH EXPLORATION, INC.",871156,0.22,2,2,81.3,"[230721] DUKE ENERGY FLD SRVCS ASSETS LLC; [195918] DCP MIDSTREAM, LP; [230719] DUKE ENERGY FIELD SERVICES, LP; [230767] DUKE ENERGY FIELD SERVICES, INC.; [572550] MOBIL PRODUCING TX. & N.M. INC."
CH4_1B2_250m_-103.18066_31.56488?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,187.15813687281616,748.63,1,2025-08-15,2025-08-15,31.56488,-103.18066,475-35660,"FLUX ENERGY, LLC",102069,0.16,5,5,86.0,[252017] ENERGY TRANSFER COMPANY; [698769] REGENCY FIELD SERVICES LLC; [836037] TARGA MIDSTREAM SERVICES LLC
CH4_1B2_250m_-101.77250_31.84477?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,654.7630418960449,654.76,4,2025-01-01,2025-08-13,31.84477,-101.7725,173-31036,"OXYROCK OPERATING, LLC",102324,0.13,5,4,78.0,"[663680] PHILLIPS PETROLEUM COMPANY; [195918] DCP MIDSTREAM, LP; [102545] ENTERPRISE M B MIDSTREAM LLC; [252017] ENERGY TRANSFER COMPANY; [601188] NAVITAS MDSTR MIDLAND BASIN, LLC; [836041] TARGA PL MID-CONT WESTTEX LLC; [661637] PHILLIPS 66 NATURAL GAS COMPANY; [319471] GPM GAS CORPORATION; [100348] ENT NAVITAS MDSTRM MDLND BAS LLC"
CH4_1B2_250m_-101.67727_31.83412?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,386.3745878548331,386.37,3,2025-04-30,2025-08-13,31.83412,-101.67727,173-35892,DIAMONDBACK E&P LLC,217012,0.46,1,1,67.9,"[36586] ATLAS PL MID-CONT. WESTTEX, LLC; [252017] ENERGY TRANSFER COMPANY; [836041] TARGA PL MID-CONT WESTTEX LLC"
CH4_1B2_250m_-101.77634_31.90913?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,174.325732392883,261.49,2,2025-07-30,2025-08-13,31.90913,-101.77634,329-40447,"CIVITAS PERMIAN OPERATING, LLC",101577,0.13,17,16,77.8,"[601188] NAVITAS MDSTR MIDLAND BASIN, LLC; [253368] ENTERPRISE PRODUCTS OPERATINGLLC; [100348] ENT NAVITAS MDSTRM MDLND BAS LLC"
CH4_1B2_250m_-101.78864_31.73287?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,123.39515817819964,123.4,4,2025-01-01,2025-08-13,31.73287,-101.78864,329-32572,"PIONEER NATURAL RES. USA, INC.",665748,0.45,2,1,40.5,"[913450] WGR, INC.; [572390] MOBIL NATURAL GAS INC.; [36586] ATLAS PL MID-CONT. WESTTEX, LLC"
